country;latitude;longitude;time;weather_code;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;daylight_duration;sunshine_duration;uv_index_max;uv_index_clear_sky_max;precipitation_hours;wind_speed_10m_max;wind_gusts_10m_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum
Niger;17.62;8.12;2025-02-03;3;31.8;13.2;29.8;9.6;2025-02-03T09:59:00+03:00;2025-02-03T21:23:00+03:00;41066.57;38421.17;5.0;5.8;0.0;10.6;18.0;0.0;0.0;0.0;0.0
Niger;17.62;8.12;2025-02-04;3;32.2;14.6;30.6;11.0;2025-02-04T09:58:00+03:00;2025-02-04T21:23:00+03:00;41116.04;38481.73;5.7;5.85;0.0;9.7;16.6;0.0;0.0;0.0;0.0
Norfolk Island;-29.0;168.0;2025-02-03;2;23.6;22.5;24.3;22.2;2025-02-03T09:19:00+03:00;2025-02-03T22:43:00+03:00;48226.37;45338.59;7.7;9.05;0.0;30.6;41.8;0.0;0.0;0.0;0.0
Nicaragua;13.0;-85.12;2025-02-01;80;29.3;22.4;31.5;25.4;2025-02-01T09:06:00+03:00;2025-02-01T20:41:00+03:00;41700.76;39118.34;7.7;7.9;8.0;19.8;51.1;2.4;0.0;2.4;0.0
Nicaragua;13.0;-85.12;2025-02-02;80;29.0;21.8;30.3;25.2;2025-02-02T09:06:00+03:00;2025-02-02T20:41:00+03:00;41735.56;39157.12;8.05;8.05;7.0;18.7;52.9;2.1;0.0;2.1;0.0
Nicaragua;13.0;-85.12;2025-02-03;80;26.4;21.8;29.5;25.0;2025-02-03T09:06:00+03:00;2025-02-03T20:42:00+03:00;41770.91;34829.66;6.85;7.4;18.0;14.6;41.4;4.2;0.0;4.2;0.0
Netherlands;52.13;5.28;2025-01-30;51;7.3;2.9;4.8;-0.5;2025-01-30T11:21:00+03:00;2025-01-30T20:22:00+03:00;32434.34;158.73;0.8;1.6;7.0;10.4;24.8;1.2;1.2;0.0;0.0
Netherlands;52.13;5.28;2025-01-31;3;6.4;0.4;3.3;-2.7;2025-01-31T11:20:00+03:00;2025-01-31T20:24:00+03:00;32637.66;26152.71;1.7;1.7;0.0;14.0;27.7;0.0;0.0;0.0;0.0
Nepal;28.25;84.12;2025-01-29;3;13.3;7.1;10.9;5.3;2025-01-29T09:57:00+03:00;2025-01-29T20:45:00+03:00;38897.45;33478.83;5.6;5.6;0.0;8.7;20.9;0.0;0.0;0.0;0.0
Nepal;28.25;84.12;2025-01-31;2;14.3;7.1;12.5;5.0;2025-01-31T09:56:00+03:00;2025-01-31T20:47:00+03:00;39053.71;34717.53;5.7;5.7;0.0;8.0;19.4;0.0;0.0;0.0;0.0
Nepal;28.25;84.12;2025-02-02;0;17.7;8.5;15.6;5.1;2025-02-02T09:55:00+03:00;2025-02-02T20:48:00+03:00;39216.08;36320.96;5.8;5.8;0.0;8.2;19.4;0.0;0.0;0.0;0.0
Nauru;-0.5;166.88;2025-01-29;3;27.7;27.3;30.7;29.0;2025-01-29T10:01:00+03:00;2025-01-29T22:09:00+03:00;43698.12;41180.24;9.1;9.15;0.0;27.2;36.0;0.0;0.0;0.0;0.0
Nauru;-0.5;166.88;2025-01-30;2;28.1;27.0;32.5;29.9;2025-01-30T10:01:00+03:00;2025-01-30T22:09:00+03:00;43696.24;40645.64;6.0;9.2;9.0;20.5;27.4;1.0;0.0;1.0;0.0
Nauru;-0.5;166.88;2025-02-01;2;27.6;26.8;30.1;26.8;2025-02-01T10:01:00+03:00;2025-02-01T22:10:00+03:00;43692.39;41184.89;6.7;9.25;0.0;35.2;46.8;0.0;0.0;0.0;0.0
Nauru;-0.5;166.88;2025-02-02;2;28.1;27.4;30.0;27.1;2025-02-02T10:02:00+03:00;2025-02-02T22:10:00+03:00;43690.42;41186.42;9.0;9.25;0.0;37.5;51.1;0.0;0.0;0.0;0.0
Nauru;-0.5;166.88;2025-02-03;80;27.9;27.3;30.5;27.3;2025-02-03T10:02:00+03:00;2025-02-03T22:10:00+03:00;43688.43;41187.94;8.8;8.95;5.0;34.4;46.1;0.7;0.0;0.7;0.0
Niue;-19.0;-169.88;2025-01-30;95;27.5;26.2;30.1;28.4;2025-01-30T09:04:00+03:00;2025-01-30T22:01:00+03:00;46619.25;0.0;9.05;9.85;20.0;29.3;38.5;20.5;10.0;10.5;0.0
